Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),FAR Benign->Attack,Experiment,Seed,Poison_Ratio,Rounds,Variant,Training Time (s)
FedProx,95.99,97.62,82.65,88.84,0.65,5.6,robust,2,0.1,20,,1109.3
FedProx,95.85,92.42,83.14,86.77,0.9,4.72,robust,1,0.1,20,,1098.6
DyF-ZTL_high_gate=0.8,84.91,61.5,74.13,59.53,6.34,2.85,sensitivity,0,0.2,20,high_gate=0.8,947.8
FedProx,1.12,0.41,5.16,0.44,15.88,98.6,robust,0,0.8,20,,1043.18
FedProx,96.33,95.1,85.71,89.3,0.67,4.78,main,5,0.0,100,,5009.83
DyF-ZTL,96.21,97.68,83.69,89.51,0.62,5.27,robust,2,0.1,20,,1001.35
DyF-ZTL,95.27,86.66,86.1,84.43,1.43,3.51,robust,1,0.1,20,,988.87
DyF-ZTL_high_gate=0.9,96.76,93.26,86.52,89.55,0.68,3.76,sensitivity,0,0.2,20,high_gate=0.9,909.31
DyF-ZTL,96.48,95.85,84.42,89.28,0.64,4.61,robust,0,0.8,20,,908.47
Krum,93.58,83.32,70.51,75.95,1.42,7.3,robust,2,0.1,20,,676.75
Krum,87.75,69.37,54.22,55.01,2.92,10.07,robust,1,0.1,20,,665.18
Krum,0.91,6.9,3.41,1.31,15.59,99.78,robust,0,0.8,20,,616.55
DyF-ZTL_warmup_rounds=0,97.05,95.43,86.97,90.64,0.57,3.68,sensitivity,0,0.2,20,warmup_rounds=0,846.83
MultiKrum,95.1,93.62,81.2,86.05,1.11,5.33,robust,1,0.1,20,,658.53
MultiKrum,96.1,97.95,82.76,89.08,0.63,5.44,robust,2,0.1,20,,669.42
MultiKrum,2.31,12.51,14.37,7.29,15.61,98.93,robust,0,0.8,20,,616.16
DyF-ZTL_warmup_rounds=4,96.71,93.57,86.11,89.38,0.68,3.93,sensitivity,0,0.2,20,warmup_rounds=4,845.16
Median,93.96,83.19,73.69,77.68,2.08,3.29,robust,1,0.1,20,,659.5
Median,95.74,98.93,80.89,88.14,0.64,6.15,robust,2,0.1,20,,671.02
Median,0.53,0.29,3.32,0.24,15.96,99.26,robust,0,0.8,20,,617.99
TrimmedMean,94.64,86.21,84.36,82.65,1.65,3.84,robust,1,0.1,20,,660.6
TrimmedMean,95.95,98.47,81.84,88.65,0.64,5.74,robust,2,0.1,20,,670.88
TrimmedMean,0.59,0.49,3.49,0.29,15.98,99.2,robust,0,0.8,20,,618.64
DyF-ZTL_min_safety_threshold=0.2,96.63,93.17,85.85,89.06,0.69,4.01,sensitivity,0,0.2,20,min_safety_threshold=0.2,844.5
FLTrust,96.02,95.96,82.83,88.27,0.78,4.91,robust,1,0.1,20,,663.36
FLTrust,96.1,97.06,83.09,88.94,0.64,5.35,robust,2,0.1,20,,673.41
FLTrust,95.99,96.38,83.06,88.77,0.69,5.41,robust,0,0.8,20,,620.7
DyF-ZTL_min_safety_threshold=0.6,96.72,94.73,85.93,89.87,0.63,4.09,sensitivity,0,0.2,20,min_safety_threshold=0.6,842.92
FedAvg,9.05,12.04,4.89,2.93,14.74,99.23,robust,0,0.9,20,,618.61
FedAvg,94.85,89.13,83.35,84.72,1.41,4.42,robust,1,0.2,20,,659.73
FedAvg,95.91,96.91,83.03,88.84,0.68,5.6,robust,2,0.2,20,,673.81
DyF-ZTL,96.86,91.85,86.84,88.63,0.73,3.38,main,5,0.0,100,,4460.39
DyF-ZTL_baseline,96.78,93.73,86.57,89.79,0.67,3.76,sensitivity,0,0.2,20,baseline,896.17
FedProx,0.97,0.49,4.26,0.38,15.91,98.96,robust,0,0.9,20,,1011.99
FedProx,95.8,91.18,84.68,86.79,1.0,4.28,robust,1,0.2,20,,1090.58
FedProx,95.99,97.12,83.25,89.14,0.65,5.52,robust,2,0.2,20,,1090.28
DyF-ZTL_alpha=0.25,96.17,95.98,83.68,89.0,0.66,5.08,sensitivity,0,0.4,20,alpha=0.25,912.27
DyF-ZTL,95.49,88.17,82.44,84.88,1.03,4.83,robust,0,0.9,20,,897.31
DyF-ZTL,94.36,82.12,85.82,80.18,1.86,3.46,robust,1,0.2,20,,948.32
DyF-ZTL,96.25,98.12,83.91,89.83,0.6,5.27,robust,2,0.2,20,,961.97
DyF-ZTL_alpha=1.0,96.17,95.98,83.68,89.0,0.66,5.08,sensitivity,0,0.4,20,alpha=1.0,870.84
Krum,4.17,3.1,8.34,1.6,15.46,96.68,robust,0,0.9,20,,611.02
Krum,90.95,82.86,67.3,70.21,2.48,7.77,robust,1,0.2,20,,643.85
Krum,87.9,53.08,59.63,54.06,5.29,1.32,robust,2,0.2,20,,652.44
DyF-ZTL_alpha=1.5,96.17,95.98,83.68,89.0,0.66,5.08,sensitivity,0,0.4,20,alpha=1.5,820.19
MultiKrum,0.74,0.34,4.23,0.32,15.93,98.96,robust,0,0.9,20,,602.18
